ID,InfoTitle,content,stockTag
6.17626E+11,中国联通回应5G入网问题:尚未对公众客户开放,"    【TechWeb】包括华为、中兴在内的智能手机厂商已经相继发布了各自旗下的5G智能手机产品，但是，仅有硬件的支持是不够的，消费者想要体验到5G网络的畅快淋漓，一张支持5G信号的SIM卡也是必不可少的。

    因此，消费者对于何时能够申请办理5G入网倍加关注。

    近日，在回应网友关于何时给5G办卡的问题是，中国联通官微表示：“目前，5G业务尚未对公众客户开放办理，用户可申请加入中国联通5G先锋体验计划。中国联通线上线下渠道已开始接受5G手机购买预约，老用户不换卡不换号，5G手机插入联通卡，在5G覆盖区域即可先行体验5G业务，5G相关业务政策正在研究中。”

    目前，中国联通开通了5G线上报名专区，消费者可以通过报名参与“中国联通5G先锋体验计划”。如果成功报名，中国联通将提供价值12000元左右的5G先锋权益包，包括不限量不限速的5G流量，首批6款5G手机等福利。只不过，成功参与的机会并不大，页面显示，目前报名认识已经接近3000万。",1
6.17637E+11,中国联通混改后首次党代会召开:王晓初当选为党委书记,"　　中国联通混改后首次党代会召开。

　　7月25日至26日,中国共产党中国联合网络通信股份有限公司(600050,中国联通)/中国联合网络通信有限公司第一次代表大会在北京召开。来自中国联通全系统各个工作岗位的193名代表齐聚一堂,代表13.8万名共产党员履行职责和使命。中国联通集团公司党组全体成员作为代表出席会议。中央组织部、国资委相关领导出席会议并进行指导。

　　据联通方面发布的信息,大会选举产生了中国共产党中国联合网络通信股份有限公司/中国联合网络通信有限公司第一届委员会和纪律检查委员会,王晓初等9名同志当选为第一届党委会委员,张连如等5名同志当选为纪律检查委员会委员。

　　大会闭幕后,中国共产党中国联合网络通信股份有限公司/中国联合网络通信有限公司第一届委员会和纪律检查委员会分别召开会议,王晓初当选为党委书记,李国华、李福申当选为党委副书记,张连如、于立国分别当选为纪委书记、副书记。

　　现年61岁的王晓初系中国联通董事长,也是中国联通母公司中国联合网络通信集团有限公司(联通集团)的董事长、党组书记;李国华系联通集团总经理、党组副书记、董事;李福申系联通集团党组副书记、董事;张连如系联通集团纪检监察组组长、党组成员。

　　在中国联合网络通信股份有限公司/中国联合网络通信有限公司第一次代表大会上,王晓初作了题为《不忘初心 牢记使命 奋力开创新时代中国联通工作新局面》的工作报告。王晓初指出,这次大会是中国联通推进混合所有制改革中坚持党的领导加强党的建设的重要内容,开创了中国联通政治生活新篇章,在推进企业改革发展进程中具有重要的里程碑意义。

　　这场大会审议通过了联通党委工作报告和纪委工作报告。大会认为,过去几年来,中国联通改革发展和党的建设取得了显著和深刻性变化,经营业绩实现反转,混合所有制改革取得标志性突破,企业政治生态明显好转,各方面工作不断取得新进展。大会确立的中国联通未来五年工作的指导思想、工作目标和重点任务。",
6.17642E+11,畅联股份:东航金控已减持224.33万股 减持计划完成,"　　格隆汇7月28日 畅联股份(603648.SH)公布,2019 年7月26日,公司收到东航金控《关于减持股份结果的告知函》。在减持计划期间,东航金控共通过集中竞价交易方式减持公司股份224.33万股,占公司总股本的0.61%。截至2019年7月26日,东航金控此次减持计划完成。",
6.17642E+11,通化东宝:8024.6845万股限售股将解禁,"　　格隆汇7月28日 通化东宝(600867)发布非公开发行限售股上市流通公告,此次限售股上市流通数量为8024.6845万股;此次限售股上市流通日期为2019年8月5日。",
6.17643E+11,国联股份上半年净利润预增45.67%-52.87%(仅为管理层估计),"　　格隆汇7月28日中国联股份(603613.SH)首次公开发行股票上市公告书中披露,根据报告期内及报告期后的经营情况,发行人对2019年1-6月业绩进行了预计,预计2019年1-6月营业收入约22亿至23亿元,同比增长约50.74%至57.59%;归属于母公司股东的净利润约6051万元至6350万元,同比增长45.67%至52.87%;扣除非经常性损益后归属于母公司的净利润5877万元至6150万元,同比增长41.54%至48.11%。

　　上述有关公司2019年1-6月业绩预计仅为管理层对经营业绩的估计,不构成公司的盈利预测和业绩承诺。",
6.17644E+11,际华集团拟以研究总院为项目承载机构设立分公司,"　　格隆汇7月28日 际华集团(601718)公布,公司第四届董事会第十六次会议召开,审议通过关于《设立际华集团分公司》的议案。同意公司设立分公司,名称暂定为“际华集团股份有限公司科技发展分公司”,具体以工商登记核定为准,授权经理层办理相关事项。

　　为全面落实军民融合战略部署,围绕纺织服装、鞋靴、装具装备、橡胶高分子制品等领域的基础应用研发目标,树立军需、行业装备主体科研机构地位,公司拟以研究总院为项目承载机构设立分公司。分公司将对标央企一流科研院所,突出前瞻性、基础性、通用性技术研究功能,全面对接军需品及应急防护、行配工装民品市场,市场化、产业化运营,逐步建立门类齐全、功能完善,能够满足公司业务发展需要的研发团队,推动制造业向技术密集型和服务密集型转型升级。",
6.17645E+11,珍宝岛:控股股东虎林创达质押7250万股,"　　格隆汇7月28日 珍宝岛(603567)公布,公司于近日收到公司控股股东虎林创达投资有限公司(“虎林创达”)《关于对黑龙江珍宝岛药业股份有限公司股票进行质押的函》的通知,虎林创达将其持有的共计7250万股公司无限售流通股股票质押给哈尔滨农村商业银行股份有限公司(“农商行”),质押期限自2019年7月26日至2020年7月25日。

　　截至公告披露日,虎林创达直接持有公司股份57988.53万股无限售流通股股票,占公司总股本的68.29%,此次股份质押后,虎林创达累计质押公司股票数量为44500万股,占其持有公司股份总数的76.74%,占公司总股本的52.40%。",
6.17645E+11,三一重工:副董事长兼总裁向文波解除质押1082万股,"　　格隆汇7月28日 三一重工(600031)公布,2019年7月26日,公司收到公司控股股东三一集团有限公司的一致行动人、公司副董事长兼总裁向文波关于解除部分股份质押的通知:向文波将原质押给光大证券(601788)的公司股份2164万股中的1082万股解除了质押,并于2019 年7 月25日办理完毕解除质押手续,该笔解除质押的股份占公司总股本的0.1292%。

　　截止公告日,向文波持有公司的股份数为3662.1189万股,占公司股份总数的0.4373%;向文波质押的总股份数为1082万股, 占公司股份总数的比例为0.1292%,占其所持公司股份的29.55%。向文波具有较强的资金偿还能力,所质押股份不会对公司产生重大影响。",
6.17706E+11,江苏国泰净利率12年低于5% 总资产200亿市值仅为84亿,"　　经过21年发展,江苏国泰(002091.SZ)实现了快速发展,但其盈利能力依旧不强。

　　江苏国泰成立于1998年5月,曾经主营纺织、服装、机电、轻工、化工等商品进出口贸易和外派劳务业务,如今转型升级为供应链服务和化工新能源业务。2006年12月8日,江苏国泰登陆深交所。

　　上市以来,江苏国泰实现了高速发展,其营业收入已从2006年的31.47亿元增长至去年的368.60亿元,增长了10.71倍。2006年,其净利润(归属于上市公司股东的净利润,下同)为0.74亿元、扣除非经常性损益的净利润(简称扣非净利润)为0.71亿元,而去年,二者分别为10.16亿元、7.13亿元,分别增长了12.73倍、9.04倍。

　　虽然增长较快,但其盈利能力并不强,这从江苏国泰的净利率可窥探一二。上市13年来,公司除了在2009年的净利率达到6.01%外,其余12个年度的净利率均不到5%.

　　去年,公司虽然净利润达到10亿元,但其靠出售资产、理财等获得的投资收益高达7.79亿元,其自身主营业务盈利仅为2.37亿元。368.60亿元的营业收入,净利润才2.37亿元,足见其盈利能力之低。

　　二级市场上,江苏国泰走势也不好看。截至7月26日,其总市值约为84亿元,而在今年一季度末,公司总资产为218亿元、净资产105亿元。

　　近八成净利来自投资收益

　　江苏国泰对投资收益越来越喜欢了。

　　今年6月1日至7月26日,不到两个月时间,江苏国泰相继发布了13条关于理财的公告。如果从今年4月26日披露完2018年年度报告算起,其发布的关于理财的公告则多达21条。

　　这些理财公告主要为两类,一类是江苏国泰拟使用暂时闲置募资18.50亿元进行现金管理,主要是购买银行理财产品。另一类则是公司拟以自有闲置资金40亿元进行保本型金融机构理财产品投资,主要也是购买银行理财产品,只不过,这类资金购买的理财产品多为保本型。

　　由此可见,今年,江苏国泰将使用合计高达58.50亿元的闲置资金进行投资理财。

　　如此大规模投资理财,按照平均约3%收益率计算,假设以半年为期限(部分理财产品上半年已购买,有的产品期限只有3个月),58.5亿元的买理财产品,所获收益接近9000万元。算上一二季度的理财产品收益,不出意外,今年理财收益将超过亿元。

　　长江商报记者发现,去年,江苏国泰对投资收益存在明显依赖。

　　年报显示,去年,公司净利润10.16亿元,同比增长31.18%,扣非净利润为7.13亿元,同比增长1.57%。10.16亿元净利润中,非经常性损益3.03亿元,投资收益7.79亿元,投资收益占比接近八成。(投资收益与非经常性损益存在抵消部分)

　　投资收益中,权益法核算的长期股权投资收益1.57亿元,处置长期股权投资产生的收益为95.52万元,以公允价值计量且变动计入当期损益的金融资产在持有期间的投资收益560.45万元,处置可供出售金融资产在持有期间的投资收益6.49亿元,理财产品收益为1.21亿元。当然,去年,公司还有一笔亏损的投资,即风险投资—远期结售汇交割损失1.55亿元。

　　上述投资收益中,理财收益1.21亿元,另有一笔6.49亿元,可能是公司去年初完成对所持朗诗集团19.89%股权出售,交易价为6.62亿元。

　　去年,江苏国泰委托理财发生额为33.15亿元,期末未到期金额为32.35亿元。对比发现,今年,公司对投资理财的力度更大。

　　其实,近几年,江苏国泰的投资收益为净利润贡献不少。2016年、2017年,其投资收益分别为0.81亿元、1.65亿元,2016年,公司无理财收益,2017年为0.37亿元。

　　净利率长期低位徘徊

　　热衷于投资理财,与江苏国泰自身主营业务盈利不强有关。

　　江苏国泰主营供应链服务和化工新能源业务,其中,供应链服务,其实质就是贸易业务,去年,其贸易业务营业收入高达354.19亿元,占公司营业收入的96.25%。

　　其实,江苏国泰自从成立以来,其主要从事的就是纺织服装、化工、玩具等产品进出口贸易。只不过,上市13年来,公司的主营业务盈利能力一直不强。

　　经营业绩数据显示,2006年,江苏国泰实现营业收入31.47亿元,直到去年,13年间,除了2007年、2009年有过微调外,其余年度均在增长。至去年,其营业收入达到368.60亿元,增长了10.71倍。同期,净利润在2012年、2013年,其余年度也在持续增长,去年,其净利润较上市首年增长了12.73倍。

　　长江商报记者发现,江苏国泰的净利润大幅增长,并非来自主营业务自身盈利能力增强,更多靠业务规模推动(2018年则是靠投资收益)。实际上,在2015年以前,公司净利润、扣非净利润分别在2亿元、1亿元左右徘徊。

　　2015年,江苏国泰实施重大资产重组,通过发行股份等途径作价53.13亿元收购华盛实业等12家公司,同时配套募资28.03亿元。该项交易于2016年完成,自2016年开始,公司的营业收入大幅增长,由2015年的72.93亿元跃升为2016年的297.38亿元,当年的净利润也因此大幅增长。

　　重组之后,虽然江苏国泰的营业收入和净利润好看了不少,但其实质上的盈利能力并未增强。

　　毛利率方面,上市之初,公司的毛利率为9.22%,此后维持震荡走势,期间最高为14.40%,2016年至2018年为11.89%、11.39%、12.53%,无明显上升。净利率同样无明显上升。上市13年来,2006年、2007年不到3%,2009年最高,达到6.01%,近几年回落至4%以内。整体上,上市以来,除了2009年超过5%,其余年度均不到5%,更有7个年度低于4%。

　　投资者似乎对江苏国泰也不十分看好。今年4月,其年报披露前,公司股价最高达8.43元/股,7月26日,其收盘价为5.38元/股,跌幅为36.18%。截至7月26日,公司总市值为84.12亿元,仅为公司一季度末总资产的38.57%。",
6.17707E+11,未来五年建设银行将为湖南提供2万亿元以上综合性金融支持,"　　据湖南日报7月25日报道,7月24日上午,湖南省政府与中国建设银行签署《深化全面战略合作协议》。签约仪式前,湖南省委副书记、省长许达哲与中国建设银行党委书记、董事长田国立和行长刘桂平一行会谈并共同见证签约。

　　根据协议,未来五年中国建设银行将为湖南累计提供2万亿元以上综合性金融支持。

　　许达哲表示,湖南与建行合作机会很多,发展空间广阔。希望以此次签约为新起点,发挥各自优势,在推动制造业高质量发展、培育壮大骨干企业和小巨人企业、防范化解地方政府隐性债务风险、推动乡村振兴、支持普惠金融发展等方面全面深化务实合作,实现互利共赢。

　　田国立表示,中国建设银行将践行“为中国人民谋幸福,为中华民族谋复兴”的初心和使命,发挥技术和人才优势,助力湖南打好三大攻坚战,加紧在湘配置特色金融产品,盘活农村金融资源,为湖南经济社会发展作出更大贡献。

　　据中泰固收团队测算,若没有签订合作协议,则2019-2023年建行对湖南省提供的支持应为3269亿元、3492亿元、3730亿元、3985亿元、4256亿元,总规模为1.87万亿元。",
