,SecuCode,HKStkShares,HKStkMV,TurnoverRate,PERatio,PS,PB,PCF,DividendRatioFY,DividendRatioRW
0,00001,3856240500,284590548900.0000,0.0008,7.2972,1.0269,0.4903,-13.2528,4.2958,4.2954
1,00002,2526450570,206411011569.0000,0.0015,15.2333,2.2577,1.7215,173.8930,3.6965,3.7699
2,00003,16925052244,257937796198.5600,0.0013,27.6971,6.6014,3.5218,-121.3140,2.2250,2.2966
3,00004,3049027327,58236421945.7000,0.0016,8.7931,2.7659,0.3987,-2.1635,3.4010,3.4012
4,00005,20591177291,1215909019033.5500,0.0005,11.2869,2.4366,0.7843,-5.8119,6.6866,6.7302
5,00006,2134261654,119091800293.2000,0.0011,15.5961,76.5864,1.4404,-6.1559,5.0179,5.0179
6,00007,4000000000,3480000000.0000,0.0005,21.7524,3.6924,1.0867,-18.2480,0.0000,0.0000
7,00008,7719638249,36436692535.2800,0.0006,40.6206,0.9379,2.0349,-7.5158,6.6186,6.6758
8,00009,3568790629,431823666.1090,0.0001,-1.2197,5.2784,0.4566,-5.8506,0.0000,0.0000
9,00010,1361618242,26633252813.5200,0.0014,5.0394,2.6593,0.1733,-18.8354,4.0900,4.0900
10,00011,1911842736,317174709902.4000,0.0008,13.1004,5.7219,1.9689,-938.3867,4.5208,4.7016
11,00012,4841387003,185667191565.0500,0.0009,5.9591,8.4463,0.5813,-25.6199,4.5751,4.6936
12,00014,1044700891,32229022487.3500,0.0028,5.3421,8.2851,0.4060,920.8292,4.6756,4.6758
13,00015,1683146400,1009887840.0000,,1.4334,0.2849,0.2228,14.1338,3.3333,3.3333
14,00016,2897780274,324841168715.4000,0.0011,7.2328,3.8081,0.5641,-281.4915,4.4155,4.4155
15,00017,10228714055,112515854605.0000,0.0013,6.1958,1.4657,0.4086,205.0590,4.6349,4.6349
16,00018,2397917898,1414771559.8200,0.0001,17.3830,1.5690,0.7750,-1.9587,5.0847,5.0847
17,00019,905206000,65491654100.0000,0.0028,2.7717,0.7741,0.1984,19.5439,4.1465,4.3538
18,00020,2048549287,101403189706.5000,0.0009,5.8822,2.0912,0.2520,-4.0123,3.1307,3.1818
19,00021,3975233406,484978475.5320,,11.6268,5.5599,0.5456,-110.1973,0.0000,0.0000
20,00022,1966387866,369680918.8080,,291.7766,5.1206,0.6351,50.6829,0.0000,0.0000
21,00023,2906471326,53711590104.4800,0.0004,8.2519,3.1462,0.5116,-96.9523,6.2154,4.1427
22,00024,5111622235,362925178.6850,,-3.3145,0.1574,0.5576,-6.5079,0.0000,0.0000
23,00025,301928440,3399714234.4000,,5.1939,0.4932,0.3526,17.0814,4.4405,4.4405
24,00026,45308056,5006540188.0000,0.0001,3.5984,56.6242,0.4956,16.5337,19.2760,19.2760
25,00027,4332947865,232679300350.5000,0.0012,17.2261,4.2144,3.3698,-121.4192,1.7658,1.6939
26,00028,1506769491,5469573252.3300,0.0002,4.3715,1.6616,0.2141,-2.7703,5.5096,5.5096
27,00029,237703681,2747854552.3600,0.0005,56.3894,25.8729,1.2885,235.3421,0.5953,0.5953
28,00030,6448152160,2385816299.2000,0.0006,53.8902,2.6215,3.1189,-35.8880,0.0000,0.0000
29,00032,372688206,3957948747.7200,0.0274,8.8467,6.1753,0.5403,-2.2904,3.7665,3.7665
30,00034,1176631296,11425089884.1600,0.0000,5.2091,4.0195,0.3667,-13.3203,7.4150,7.6210
31,00035,2379339335,8208720705.7500,0.0007,4.7902,1.1997,0.6022,-15.4302,6.2563,6.2563
32,00036,1089118593,239606090.4600,,-2.2605,28.0339,0.1925,-53.2932,0.0000,0.0000
33,00037,610710675,125806399.0500,0.0008,-13.1110,2.4018,0.4414,44.7513,0.0000,0.0000
34,00038,391940000,650620400.0000,0.0002,-1.0797,0.2471,0.3115,-0.8427,0.0000,0.0000
35,00039,6225125683,765690459.0090,0.0056,164.6646,0.6043,0.4718,-12.7462,0.0000,0.0000
36,00040,784692952,635601291.1200,0.0004,10.3456,0.0939,0.2850,1.5458,5.1852,5.1852
37,00041,708374048,18594818760.0000,0.0002,3.2001,1.8309,0.1966,8.6836,3.1230,3.1406
38,00042,257950000,149611000.0000,,29.7695,13.4478,24.5510,5.6959,0.0000,0.0000
39,00043,24071837232,16368849317.7600,0.0004,7.4051,0.3109,1.2566,17.3983,6.3235,5.0000
40,00045,1634422891,13843561886.7700,0.0005,11.1372,2.2278,0.3515,-24.9884,2.4451,2.3353
41,00046,249488384,813332131.8400,0.0000,11.9558,2.8900,1.7012,13.4675,6.4417,6.4417
42,00047,10070431786,1117817928.2460,0.0000,9.1172,0.4709,2.1631,-18.7865,5.4955,5.4955
43,00050,356273883,2518856352.8100,0.0000,7.3086,2.3139,0.4116,-1.8302,5.3748,5.3748
44,00051,708750000,8831025000.0000,,10.6270,5.5787,0.4868,-57.7191,2.4077,2.4077
45,00052,129532780,2694281824.0000,0.0008,14.9726,0.9070,3.4645,51.8360,5.6608,5.6608
46,00053,329051373,42677963078.1000,0.0000,12.6119,2.4313,0.5240,-19.2721,3.0840,3.0840
47,00055,253639456,65946258.5600,,-1.7390,0.1113,0.0717,-10.0462,0.0000,0.0000
48,00056,6812201460,10627034277.6000,0.0000,4.5349,2.1620,0.2205,3.8561,5.1282,5.1282
49,00057,630531600,1733961900.0000,0.0000,19.2067,1.0599,0.6269,19.6021,2.5455,2.5455
50,00058,748936324,68902141.8080,,-1.3644,0.1661,0.2326,-1.3598,0.0000,0.0000
51,00059,7942893137,8181179931.1100,0.0005,9.2904,1.1273,2.1186,-12.5885,2.2286,2.2286
52,00060,259586000,207668800.0000,,1.1043,1.3744,0.3188,1.9274,0.0000,0.0000
53,00061,8773232014,245650496.3920,0.0009,-0.2078,0.2445,11.0088,-2.6717,0.0000,0.0000
54,00062,446941011,9095249573.8500,0.0001,12.6310,1.1356,0.8768,-9.3207,5.7279,5.7679
55,00063,2819102084,704775521.0000,0.0001,-7.9347,42.6387,3.7198,-13.3952,0.0000,0.0000
56,00064,9662705938,2251410483.5540,0.0002,11.5410,4.0067,0.3394,-9.2502,8.5837,8.5837
57,00066,6157649911,271860243570.6500,0.0006,16.9828,5.0410,1.5060,-59.8943,2.7074,2.7122
58,00068,146781285,546026380.2000,,-0.4573,40.8672,0.4609,356.4141,2.0161,0.6720
59,00069,3585525056,29974989468.1600,0.0012,19.7950,1.5166,0.5857,19.1895,2.6316,2.6316
60,00070,692436675,96941134.5000,0.0002,2.2767,0.8091,0.0813,-0.1895,0.0000,0.0000
61,00071,690959695,10392033812.8000,0.0000,6.3984,3.2484,0.5278,6.2677,4.0559,4.0559
