,SecuCode,ClosePrice,OpenPrice,HighPrice,LowPrice,VolumeValue,AmountValue
0,00001,55.6000,57.1500,57.4000,55.3000,10971459,613170990.2200
1,00002,81.2000,82.1500,82.1500,80.2000,2850022,230733286.4160
2,00003,13.7600,14.0400,14.0400,13.5200,28057851,384477858.1700
3,00004,13.9400,14.2800,14.2800,13.7800,3905487,54436377.0000
4,00005,39.1500,39.8000,39.9500,39.0500,26649501,1046560525.4000
5,00006,50.5000,50.7500,51.3000,50.2000,3788718,191295437.7500
6,00007,0.7900,0.8000,0.8000,0.7700,1210000,942860.0000
7,00008,4.6300,4.6400,4.6700,4.5800,7372306,34127787.3100
8,00009,0.1200,0.1090,0.1350,0.1090,144000,16302.0000
9,00010,16.9800,17.2600,17.2600,16.8200,1801815,30583932.7800
10,00011,134.0000,135.6000,137.9000,133.2000,2491820,334656693.0260
11,00012,31.3000,31.5500,31.9500,31.1500,7307279,229963550.5240
12,00014,25.4500,26.1000,26.1000,25.3500,1546255,39527626.5000
13,00015,0.4200,0.4150,0.4200,0.4100,52000,21370.0000
14,00016,103.8000,105.0000,105.7000,103.2000,3160288,329205762.5800
15,00017,8.8000,9.0000,9.0400,8.7700,13871636,122310509.8800
16,00018,0.4500,0.4600,0.4600,0.4450,240000,109110.0000
17,00019,49.8500,51.6000,51.8000,49.8500,2409987,121090023.5500
18,00020,53.6000,55.2000,55.2000,53.5500,1100715,59629143.8000
19,00021,0.0990,0.0980,0.0990,0.0980,85000,8335.0000
20,00022,0.1100,0.1100,0.1100,0.1100,,
21,00023,16.3600,16.3200,16.7000,16.1800,1107680,18125470.6400
22,00024,0.0710,,,,,
23,00025,9.7000,9.7000,9.7000,9.7000,,
24,00026,99.8000,101.3000,101.3000,99.8000,14000,1402000.0000
25,00027,47.9000,49.2500,50.0000,47.5500,20797632,1001557122.2800
26,00028,3.0900,3.0600,3.1000,3.0600,2371000,7347210.0000
27,00029,11.4400,11.2000,11.4600,11.2000,36000,406160.0000
28,00030,0.2480,0.2440,0.2480,0.2440,350000,86168.0000
29,00031,0.3950,0.4000,0.4000,0.3850,1120000,436700.0000
30,00032,11.0600,11.0800,11.1000,11.0000,221491,2449961.0000
31,00034,8.6700,8.6500,8.6700,8.5900,493000,4249110.0000
32,00035,2.6800,2.7500,2.7500,2.6400,1199298,3196197.7800
33,00036,0.1400,0.1400,0.1400,0.1400,,
34,00037,0.1270,0.1270,0.1270,0.1270,,
35,00038,1.4300,1.4200,1.4600,1.4200,596000,855700.0000
36,00039,0.0570,0.0590,0.0590,0.0560,6056000,345072.0000
37,00040,0.6800,0.6900,0.6900,0.6800,27000,18370.0000
38,00041,22.1500,22.6500,22.6500,22.0500,87333,1938609.2000
39,00042,0.3900,0.4000,0.4000,0.4000,2000,800.0000
40,00043,0.6300,0.6200,0.6300,0.6100,1496000,925140.0000
41,00045,6.9000,7.0800,7.0800,6.8300,317000,2187775.0000
